Course ID,Subject,Catalog,Long Title,Class Units,Component Code,Component Descr,Pre Requisite Description,Career,Equivalent Courses,Description,Website
000026,ACCO,220,Financial and Managerial Accounting,3.00,LEC,Lecture,"   Never Taken/Not Registered: ACCO213, ACCO218, ACCO230, ACCO240",UGRD,,Check academic program site,
000027,ACCO,230,Introduction to Financial Accounting,3.00,LEC,Lecture,"   Never Taken/Not Registered: ACCO213, ACCO220, COMM217; Never Taken: ACCO240, ACCO340, ACCO345, ACCO365, ACCO455, ACCO470F, ACCO470I, ACCO470S, ACCO470T, COMM305, COMM308, IBUS471I",UGRD,,Check academic program site,
000028,ACCO,240,Introduction to Managerial Accounting,3.00,LEC,Lecture,"   Never Taken/Not Registered: ACCO218, ACCO220, COMM305; Never Taken: ACCO310, ACCO330, ACCO350, ACCO355, ACCO470I, IBUS462, IBUS471I, MARK462 You must complete 1 of the following rules   Course Prerequisite: ACCO213, ACCO230",UGRD,,Check academic program site,
000035,ACCO,310,Financial Reporting I,3.00,LEC,Lecture,"Course Corequisite: One of (COMM305, ACCO218, ACCO240)  Never Taken: ACCO320, ACCO350",UGRD,ACCO 310 = ACCO 323,Check academic program site,
000043,ACCO,320,Financial Reporting II,3.00,LEC,Lecture,"Course Prerequisite: One of (ACCO310, ACCO323) Never Taken: ACCO326; ACCO410, ACCO420, ACCO400, ACCO450, ACCO460",UGRD,ACCO 320 = ACCO 326,Check academic program site,
000053,ACCO,330,Cost and Management Accounting,3.00,LEC,Lecture,"Course Prerequisite: One of (ACCO218, COMM305, ACCO240) Never Taken ACCO303; ACCO430, ACCO470A",UGRD,ACCO 303 = ACCO 330,"This course provides an examination of the techniques, systems, and procedures applicable to the managerial use of accounting information for planning, decision making, and control. Topics include cost accumulation and allocation, product and process costing, flexible budgeting and variance analysis, evaluation of managerial performance, and transfer pricing.",
000055,ACCO,340,Income Taxation in Canada,3.00,LEC,Lecture,"Course Prerequisite: One of (ACCO213, COMM217, ACCO230) Never Taken: ACCO441;  ACCO440",UGRD,ACCO 340 = ACCO 441,Check academic program site,
000057,ACCO,350,Accounting and Information Technology,3.00,LEC,Lecture,"Course Prerequisite: One of (ACCO218, COMM305, ACCO240)  One of (COMM226, COMM301) Never Taken: ACCO414",UGRD,ACCO 350 = ACCO 414,Check academic program site,
000058,ACCO,355,Analysis of Financial Statements,3.00,LEC,Lecture,,UGRD,,Real life accounting case discussions and a project based on a real company,
000059,ACCO,365,U.S. Federal Taxation,3.00,LEC,Lecture,"Course Prerequisite: One of (COMM217, ACCO230)",UGRD,ACCO 365 = ACCO 470T,Check academic program site,
