"course","courseName","courseSubject","courseNumber","courseUrl","courseCredits","description"
"http://focu.io/data#CEPD8000","Youth Care Worker Fundamentals Program","CEPD","8000",,"999.0","Check academic program site"
"http://focu.io/data#AHSC438","INTERNSHIP IN THERAPEUTIC RECREATION","AHSC","438",,"9.0","Opportunity to design, implement, and evaluate programs, to facilitate groups in a variety of settings, and to establish working relationships with field personnel"
"http://focu.io/data#AHSC535","Internship in Youth Work","AHSC","535",,"9.0","Check academic program site"
"http://focu.io/data#AHSC538","Extended Internship in Youth Work","AHSC","538",,"9.0","320-hour internship. Full-time supervised experience in either a clinical or a normative youth work setting and requires additional hours to assist the student in building his/her application for licensing. The student fully assumes all the duties and responsibilities of a youth worker in the same site selected for the first internship. Work is supervised and evaluated by an on-site field supervisor."
"http://focu.io/data#ARTE425","Practicum in the Secondary School II","ARTE","425",,"9.0","Check academic program site"
"http://focu.io/data#ARTH808","COMPREHENSIVE EXAMINATION","ARTH","808",,"9.0","Check academic program site"
"http://focu.io/data#CATS689","RESEARCH PAPER","CATS","689",,"9.0","Check academic program site"
"http://focu.io/data#CHEM896","RESEARCH PROPOSAL+COMP EXAM","CHEM","896",,"9.0","Check academic program site"
"http://focu.io/data#CHST693","INTERNSHIP","CHST","693",,"9.0","Check academic program site"
"http://focu.io/data#CHST695","INTERN SEM & FIELD PLACEMENT","CHST","695",,"9.0","Check academic program site"
"http://focu.io/data#CHST696","INTERNSHIP REPORT","CHST","696",,"9.0","Check academic program site"
"http://focu.io/data#CIVI7901","Environmental Engineering Research Project","CIVI","7901","Contact faculty member directly to inquire about potential openings for a student working in the lab.","9.0","Research project, supervision of full-time faculty member"
"http://focu.io/data#ENCS6931","INDUSTRIAL STAGE & TRAINING","ENCS","6931",,"9.0","Check academic program site"
"http://focu.io/data#ETEC891","DOCTORAL COMPREHENSIVE EXAM","ETEC","891",,"9.0","Check academic program site"
"http://focu.io/data#FMAN402","ADVANCED ANIMATION FILMMAKING","FMAN","402",,"9.0","Check academic program site"
"http://focu.io/data#INDU6990","Industrial Engineering Capstone","INDU","6990",,"9.0","Check academic program site"
"http://focu.io/data#MATH603","EXTENDED PROJECT","MATH","603",,"9.0","Check academic program site"
"http://focu.io/data#MCHI205","Introduction to Modern Chinese (Mandarin) I","MCHI","205",,"9.0","Check academic program site"
"http://focu.io/data#MTHY512","MUSIC THERAPY PRACTICUM III","MTHY","512",,"9.0","Check academic program site"
"http://focu.io/data#PROJ691","STUDIO PROJECT","PROJ","691",,"9.0","Check academic program site"
"http://focu.io/data#RELI601B","COMPREHENSIVE EXAMINATION","RELI","601B",,"9.0","Check academic program site"
"http://focu.io/data#RELI603","RESEARCH PAPER","RELI","603",,"9.0","Check academic program site"
"http://focu.io/data#RELI603C","RESEARCH PAPER","RELI","603C",,"9.0","Check academic program site"
