"course","courseName","courseSubject","courseNumber"
"http://focu.io/data#SOEN298","SYSTEM HARDWARE LAB","SOEN","298"
"http://focu.io/data#SOEN6611","Software Measurement","SOEN","6611"
"http://focu.io/data#SOEN6591","SOFTWARE MINING AND ANALYSIS","SOEN","6591"
"http://focu.io/data#SOEN6471","ADV D SOFTWARE ARCHITECTURES","SOEN","6471"
"http://focu.io/data#SOEN341","Software Process","SOEN","341"
"http://focu.io/data#SOEN691","TOPICS/SOFTWARE ENGINEERING","SOEN","691"
"http://focu.io/data#SOEN344","Software Architecture and Design II","SOEN","344"
"http://focu.io/data#SOEN331","Introduction to Formal Methods for Software Engineering","SOEN","331"
"http://focu.io/data#SOEN691D","TOPICS/SOFTWARE ENGINEERING OPEN SOURCE SOFTWARE DEV","SOEN","691D"
"http://focu.io/data#SOEN7941","MASTER S RESEARCH AND THESIS","SOEN","7941"
"http://focu.io/data#SOEN6021","SOFTWARE RE-ENGINEERING","SOEN","6021"
"http://focu.io/data#SOEN6861","SVCS COM: FOUND, DSGN & IMPL","SOEN","6861"
"http://focu.io/data#SOEN6431","SOFT. COMP.& MAINTENANCE","SOEN","6431"
"http://focu.io/data#SOEN6481","SYSTEMS REQMT. SPECIFICATION","SOEN","6481"
"http://focu.io/data#SOEN6841","SOFTWARE PROJECT MANAGEMENT","SOEN","6841"
"http://focu.io/data#SOEN384","Management, Measurement and Quality Control","SOEN","384"
"http://focu.io/data#SOEN6761","MULTIMEDIA COMPUTING","SOEN","6761"
"http://focu.io/data#SOEN345","Software Testing, Verification and Quality Assurance","SOEN","345"
"http://focu.io/data#SOEN491","SOFTWARE ENGINEERING PROJECT","SOEN","491"
"http://focu.io/data#SOEN490","Capstone Software Engineering Design Project","SOEN","490"
"http://focu.io/data#SOEN6491","SOFTWARE REFACTORING","SOEN","6491"
"http://focu.io/data#SOEN422","Embedded Systems and Software","SOEN","422"
"http://focu.io/data#SOEN363","Data Systems for Software Engineers","SOEN","363"
"http://focu.io/data#SOEN6011","Software Engineering Processes","SOEN","6011"
"http://focu.io/data#SOEN6751","HUMAN COMPUTER INTERFACE DES","SOEN","6751"
"http://focu.io/data#SOEN6441","ADV. PROG. PRACTICES","SOEN","6441"
"http://focu.io/data#SOEN499","TOPICS IN SOFTWARE ENGINEERING","SOEN","499"
"http://focu.io/data#SOEN6951","SOFTWARE ENG.CASE STUDY","SOEN","6951"
"http://focu.io/data#SOEN498","TOPICS/SOFTWARE ENGINEERING","SOEN","498"
"http://focu.io/data#SOEN423","Distributed Systems","SOEN","423"
"http://focu.io/data#SOEN342","Software Requirements and Specifications","SOEN","342"
"http://focu.io/data#SOEN390","Software Engineering Team Design Project","SOEN","390"
"http://focu.io/data#SOEN287","Web Programming","SOEN","287"
